Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,CV Accuracy (mean),CV Accuracy (std),Train Time (s),Predict Time (s)
Random Forest,0.8612,0.8636,0.8612,0.8615,0.9461,0.8467,0.0195,0.4286,0.034084
Logistic Regression,0.8517,0.853,0.8517,0.8516,0.95,0.8299,0.0235,0.0223,0.000281
XGBoost,0.8469,0.8481,0.8469,0.8468,0.9546,0.8323,0.0151,0.6792,0.001824
Decision Tree,0.8469,0.8488,0.8469,0.8467,0.9356,0.8287,0.0307,0.005,0.000409
Gradient Boosting,0.8373,0.8385,0.8373,0.8371,0.9514,0.8311,0.0149,1.0906,0.003368
Support Vector Machine,0.823,0.8324,0.823,0.822,0.9342,0.8335,0.0282,0.1455,0.008878
Extra Trees,0.756,0.7638,0.756,0.7525,0.8931,0.812,0.0356,0.2182,0.034398
